Pais,IDH,ExpectativaDeVida ,ExpectativaDeEscolaridade,MediaDeEscolaridade,RendaNacionalBruta
Switzerland,0.96,83.99,16.50,13.86,66933.00
Norway,0.96,83.23,18.19,13.00,64660.11
Iceland,0.96,82.68,19.16,13.77,55782.05
"Hong Kong, China (SAR)",0.95,85.47,17.28,12.23,62606.85
Australia,0.95,84.53,21.05,12.73,49238.43
Denmark,0.95,81.38,18.71,12.96,60364.79
Sweden,0.95,82.98,19.42,12.61,54489.37
Ireland,0.95,82.00,18.95,11.58,76168.98
Germany,0.94,80.63,17.01,14.09,54534.22
Netherlands,0.94,81.69,18.69,12.58,55979.41
Finland,0.94,82.04,19.05,12.87,49452.17
Singapore,0.94,82.75,16.52,11.92,90918.64
Belgium,0.94,81.88,19.60,12.38,52293.40
New Zealand,0.94,82.45,20.28,12.94,44057.31
Canada,0.94,82.66,16.40,13.83,46807.99
Liechtenstein,0.94,83.26,15.18,12.54,146829.70
Luxembourg,0.93,82.63,14.40,13.02,84649.47
United Kingdom,0.93,80.74,17.31,13.41,45224.77
Japan,0.93,84.78,15.22,13.37,42274.29
Korea (Republic of),0.93,83.70,16.52,12.51,44500.93
United States,0.92,77.20,16.28,13.68,64765.22
Israel,0.92,82.26,16.05,13.34,41523.74
Malta,0.92,83.78,16.84,12.21,38884.46
Slovenia,0.92,80.69,17.65,12.80,39746.02
Austria,0.92,81.58,16.01,12.26,53618.67
United Arab Emirates,0.91,78.71,15.72,12.69,62573.59
Spain,0.91,83.01,17.92,10.61,38353.60
France,0.90,82.50,15.81,11.61,45937.05
Cyprus,0.90,81.20,15.65,12.44,38188.42
Italy,0.90,82.85,16.23,10.74,42839.51
Estonia,0.89,77.14,15.93,13.55,38048.26
Czechia,0.89,77.73,16.22,12.87,38745.21
Greece,0.89,80.11,20.03,11.41,29002.49
Poland,0.88,76.46,16.03,13.16,33033.96
Bahrain,0.88,78.76,16.30,11.05,39497.25
Lithuania,0.88,73.72,16.29,13.50,37931.30
Saudi Arabia,0.88,76.94,16.14,11.31,46111.55
Portugal,0.87,81.04,16.87,9.58,33154.53
Latvia,0.86,73.58,16.20,13.25,32803.23
Andorra,0.86,80.37,13.30,10.56,51166.63
Croatia,0.86,77.58,15.11,12.19,30132.29
Chile,0.86,78.94,16.73,10.93,24563.24
